"","sciname","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","Vulnerability","Length","Importance","PriceCateg","PD50"
"10897","Eptatretus sinus","eel-like","bathydemersal",198,1330,41.26,48.1,NA,"low",0.5
"10898","Eptatretus yangi","eel-like","demersal",20,50,15.78,29.6,NA,"low",0.5
"10899","Rajella kukujevi","other","bathydemersal",750,800,56.06,NA,NA,"medium",0.5
"10900","Aulotrachichthys heptalepis","fusiform / normal","benthopelagic",50,100,29.67,6.7,NA,"low",0.5039
"10901","Aulotrachichthys argyrophanus","fusiform / normal","bathypelagic",229,NA,36.99,7.5,NA,"low",0.5039
"10902","Paratrachichthys fernandezianus","fusiform / normal","demersal",NA,NA,61.11,NA,NA,"low",0.625
"10903","Atlantoraja platana","other","demersal",19,181,63.08,81.6,NA,"medium",0.625
"10904","Bathyraja fedorovi","other","bathydemersal",447,2025,61.67,73.3,NA,"medium",0.5
"10905","Breviraja marklei","other","bathydemersal",443,988,36.18,39,NA,"medium",0.5156
"10906","Gurgesiella dorsalifera","other","bathydemersal",470,800,44.26,53,NA,"medium",0.625
"10907","Neoraja carolinensis","other","bathydemersal",695,1010,26.46,28.5,NA,"medium",0.5312
"10908","Psammobatis parvacauda","other","demersal",NA,120,47.7,NA,NA,"medium",0.5039
"10909","Raja bahamensis","other","bathydemersal",388,412,65.22,NA,NA,"medium",0.5
"10910","Lamprogrammus shcherbachevi",NA,"benthopelagic",0,1000,85.38,193,"of no interest",NA,0.5312
"10911","Leptobrotula breviventralis","eel-like","benthopelagic",220,780,37.89,32,"of no interest",NA,1
"10912","Bregmaceros pescadorus","elongated","pelagic-neritic",NA,NA,10,4.3,NA,"very high",0.5001
"10913","Monomitopus torvus","elongated","bathydemersal",560,1260,29.19,22.6,"of no interest",NA,0.5001
"10914","Monomitopus longiceps",NA,"benthopelagic",150,960,40.49,NA,"of no interest",NA,0.5001
"10915","Monomitopus vitiazi","eel-like","bathydemersal",NA,835,40.49,NA,"of no interest",NA,0.5001
"10916","Monomitopus americanus","elongated","bathydemersal",600,800,40.49,NA,"of no interest",NA,0.5001
"10917","Monomitopus magnus","elongated","bathydemersal",730,930,50.64,53.5,"of no interest",NA,0.5001
"10918","Ostorhinchus cheni","fusiform / normal","reef-associated",70,100,16.49,13,NA,"high",0.5
"10919","Cirrhilabrus pylei","fusiform / normal","reef-associated",76,82,15.39,9,NA,"very high",0.5
"10920","Cirrhilabrus walindi","fusiform / normal","reef-associated",20,65,12.47,7,NA,"very high",0.5
"10921","Chiloscyllium hasseltii","elongated","reef-associated",0,12,28.54,61,"commercial","unknown",0.5039
"10922","Porogadus nudus",NA,"bathydemersal",2325,3200,26.04,19.8,"of no interest",NA,0.5001
"10923","Porogadus silus",NA,"bathydemersal",1500,3510,36.2,NA,"of no interest",NA,0.5001
"10924","Tauredophidium hextii","eel-like","bathydemersal",1500,2660,14.21,10.5,"of no interest",NA,1
"10925","Pycnocraspedum armatum",NA,"benthopelagic",201,1345,37.71,NA,"of no interest",NA,0.5312
"10926","Apagesoma edentatum","elongated","benthopelagic",NA,5082,58.07,75.2,"of no interest",NA,0.625
"10927","Barathrites parri","eel-like","bathypelagic",1270,3000,33.53,27.5,"of no interest",NA,0.75
"10928","Bassozetus levistomatus",NA,"bathydemersal",3965,5200,59.07,80.5,"of no interest",NA,0.5001
"10929","Bassozetus nasus",NA,"bathydemersal",3060,3570,34.4,28.2,"of no interest",NA,0.5001
"10930","Porogadus catena",NA,"bathydemersal",1180,3500,32.34,21.5,"of no interest",NA,0.5001
"10931","Neobythites bimarginatus","elongated","bathydemersal",295,530,14.62,11,NA,"medium",0.5
"10932","Neobythites bimaculatus","elongated","bathydemersal",435,500,23.33,17,NA,"medium",0.5
"10933","Neobythites longiventralis","elongated","bathydemersal",205,330,18.7,13.7,NA,"medium",0.5
"10934","Neobythites neocaledoniensis","elongated","bathydemersal",470,670,31.02,24.5,NA,"medium",0.5
"10935","Neobythites zonatus","elongated","bathydemersal",275,950,24,17.4,NA,"medium",0.5
"10936","Neobythites multistriatus","elongated","benthopelagic",300,580,24.51,NA,NA,"medium",0.5
"10937","Gadella brocca","elongated","bathypelagic",425,790,37.72,17.25,NA,"medium",0.5001
"10938","Opistognathus leprocarus","elongated","bathydemersal",165,308,10,8.12,NA,"unknown",0.5
"10939","Opistognathus nothus","elongated","demersal",92,100,10,7.9,NA,"unknown",0.5
"10940","Opistognathus brasiliensis","elongated","demersal",50,69,10,12.92,NA,"unknown",0.5
"10941","Opistognathus signatus","elongated","demersal",27,68,10,8.91,NA,"unknown",0.5
"10942","Argyripnus electronus",NA,"bathydemersal",545,600,26.98,NA,"of no interest","unknown",0.5078
"10943","Dysomma opisthoproctus","eel-like","demersal",NA,200,21.81,42.06,NA,"unknown",0.5001
"10944","Gorgasia taiwanensis","eel-like","demersal",14,22,51.26,74.1,NA,"medium",0.5001
"10945","Halichoeres orientalis","fusiform / normal","reef-associated",2,30,16.21,7.56,NA,"very high",0.5
"10946","Fusigobius aureus","fusiform / normal","reef-associated",5,25,10,3.48,NA,"very high",0.5005
"10947","Chaenopsis coheni",NA,"demersal",26,37,10,NA,NA,"unknown",0.501
"10948","Paraclinus ditrichus",NA,"demersal",0,6,10,NA,NA,"unknown",0.5
"10949","Paraclinus stephensi",NA,"demersal",0,14,10,NA,NA,"unknown",0.5
"10950","Eptatretus grouseri","eel-like","bathydemersal",NA,722,30.14,37.8,NA,"low",0.5
"10951","Microgobius crocatus","elongated","demersal",0,36,25.83,10,NA,"very high",0.5
"10952","Nezumia ventralis","elongated","bathydemersal",515,878,41,32.8,NA,"medium",0.5
"10953","Parvilux boschmai",NA,"bathypelagic",NA,NA,48.18,NA,NA,"high",0.75
"10954","Gobiomorus polylepis","elongated","demersal",NA,NA,40.28,28,NA,"unknown",0.625
"10955","Rajella eisenhardti","other","bathydemersal",757,907,31.73,38.45,NA,"medium",0.5
"10956","Tripterophycis svetovidovi","elongated","bathypelagic",385,950,42.5,23.4,NA,"medium",0.75
"10957","Hoplolatilus pohle","fusiform / normal","reef-associated",40,90,21.31,NA,NA,"very high",0.5001
"10958","Neobythites braziliensis",NA,"bathydemersal",320,410,20.28,14.6,NA,"medium",0.5
"10959","Xenomystax trucidans","eel-like","bathydemersal",NA,1316,49.48,64.5,NA,"medium",0.5312
"10960","Bellator farrago",NA,"demersal",NA,462,23.88,11.24,NA,"very high",0.5039
"10961","Oneirodes epithales","short and / or deep","bathypelagic",0,1829,33.29,NA,NA,"unknown",0.5
"10962","Ophichthus exourus","eel-like","bathydemersal",400,520,39.42,66.9,NA,"unknown",0.5
"10963","Ophichthus genie","eel-like","bathydemersal",430,500,23.98,33.7,NA,"unknown",0.5
"10964","Ophichthus mystacinus","eel-like","bathydemersal",371,824,26.83,42.9,NA,"unknown",0.5
"10965","Laemonema macronema",NA,"bathydemersal",300,400,44.95,25.4,NA,"medium",0.5
"10966","Trichopsetta orbisulcus","short and / or deep","demersal",119,156,30.53,11.7,NA,"very high",0.5625
"10967","Cantherhines longicaudus","short and / or deep","demersal",18,21,25.64,NA,NA,"high",0.5002
"10968","Myliobatis peruvianus","other","benthopelagic",1,100,60.8,47,NA,"medium",0.5002
"10969","Dasyatis acutirostra","other","demersal",53,142,90,10.61,NA,"low",0.625
"10970","Dasyatis izuensis","other","demersal",10,20,90,41.82,NA,"low",0.501
"10971","Patagonotothen wiltoni","fusiform / normal","benthopelagic",NA,NA,30.38,12.97,NA,"high",0.5001
"10972","Dunckerocampus boylei","eel-like","demersal",20,95,12.47,16,"of no interest","unknown",0.5078
"10973","Paraliparis gracilis",NA,"bathydemersal",120,1055,16.49,12.5,NA,"unknown",0.5
"10974","Ilyophis arx","eel-like","bathydemersal",1790,3225,37.57,44.7,NA,"unknown",0.5156
"10975","Epigonus crassicaudus","fusiform / normal","bathydemersal",180,400,60.94,43,NA,"low",0.5
"10976","Emblemaria hudsoni","elongated","demersal",9,11,10,7.4,NA,"unknown",0.5
"10977","Chaenopsis roseola","elongated","reef-associated",44,55,10,4.3,NA,"unknown",0.501
"10978","Aphyonus bolini",NA,"bathypelagic",1075,1300,10,NA,"of no interest","unknown",0.5625
"10979","Torpedo microdiscus","other","demersal",180,280,44.36,36.6,NA,"medium",0.5002
"10980","Torpedo semipelagica","other","demersal",175,210,52.05,44.5,NA,"medium",0.5002
"10981","Gnathophis andriashevi","eel-like","bathydemersal",260,330,35.55,NA,NA,"medium",0.5
"10982","Bassanago nielseni","eel-like","bathydemersal",160,340,38.99,46.5,NA,"medium",0.5625
"10983","Bathypterois ventralis",NA,"bathydemersal",NA,1244,58.19,NA,NA,"unknown",0.5
"10984","Metelectrona ahlstromi",NA,"bathypelagic",0,2000,33.8,NA,NA,"high",0.625
"10985","Ophidion metoecus",NA,"demersal",0,31,12.93,11.3,"of no interest",NA,0.5
"10986","Diplacanthopoma jordani","elongated","bathydemersal",524,1050,46.86,44.7,"of no interest","unknown",0.502
"10987","Physiculus parini","elongated","bathypelagic",326,356,30.91,11,NA,"medium",0.5
"10988","Volodichthys parini",NA,"bathydemersal",750,1116,30.72,20.3,NA,"unknown",0.5625
"10989","Careproctus steini",NA,"bathydemersal",429,583,29.11,NA,NA,"unknown",0.5
"10990","Praematoliparis anarthractae",NA,"demersal",0,485,26.23,NA,NA,"unknown",1
"10991","Paraliparis merodontus",NA,"bathydemersal",700,910,26.1,NA,NA,"unknown",0.5
"10992","Engyprosopon arenicola",NA,"demersal",6,15,25.25,6.9,NA,"very high",0.5
"10993","Acanthodraco dewitti","elongated","bathydemersal",NA,255,22.56,NA,NA,"unknown",1
"10994","Epigonus fragilis","elongated","benthopelagic",3,494,34.96,17,NA,"low",0.5
"10995","Epigonus glossodontus","elongated","bathydemersal",366,520,39.68,NA,NA,"low",0.5
"10996","Epigonus notacanthus",NA,"bathydemersal",230,340,41.77,23.8,NA,"low",0.5
"10997","Epigonus marimonticolus",NA,"bathydemersal",250,420,34.5,16.5,NA,"low",0.5
"10998","Epigonus elegans","fusiform / normal","bathydemersal",230,500,27.07,15.3,NA,"low",0.5
"10999","Triacanthodes intermedius",NA,"bathypelagic",360,500,10,7.1,NA,"unknown",0.5625
"11000","Thamnaconus fijiensis",NA,"pelagic-neritic",130,210,28.13,15.3,NA,"unknown",0.5001
"11001","Psettina senta","short and / or deep","demersal",140,333,23.78,7.22,NA,"very high",0.501
"11002","Coelorinchus melanosagmatus","elongated","bathypelagic",293,400,31.44,23,NA,"medium",0.5
"11003","Hollardia goslinei","short and / or deep","benthopelagic",275,366,10,14.4,NA,"unknown",0.625
"11004","Rexea alisae","elongated","benthopelagic",470,580,30.7,30.9,NA,"unknown",0.5078
"11005","Kasatkia seigeli","elongated","demersal",6,26,27.51,8.2,NA,"unknown",0.75
"11006","Paxton concilians","elongated","demersal",46,80,10.53,7.55,NA,"high",1
"11007","Canthigaster marquesensis","short and / or deep","reef-associated",15,42,10,7.1,NA,"very high",0.5
"11008","Canthigaster inframacula","short and / or deep","reef-associated",124,274,10,7.6,NA,"very high",0.5
"11009","Heteroconger camelopardalis","eel-like","demersal",20,25,36.5,50.07,NA,"medium",0.5
"11010","Heteroconger pellegrini","eel-like","demersal",5,30,41.13,63,NA,"medium",0.5
"11011","Torquigener gloerfelti",NA,"demersal",NA,NA,14.27,NA,NA,"very high",0.5
"11012","Nettastoma falcinaris","eel-like","bathydemersal",NA,1100,48.66,NA,NA,"unknown",0.5312
"11013","Torquigener vicinus",NA,"demersal",NA,NA,14.27,NA,NA,"very high",0.5
"11014","Torquigener paxtoni",NA,"demersal",NA,NA,14.27,NA,NA,"very high",0.5
"11015","Arothron carduus",NA,"demersal",NA,NA,47.94,NA,NA,"very high",0.5
"11016","Lagocephalus suezensis","short and / or deep","demersal",NA,25,15.39,18,NA,"very high",0.5005
"11017","Takifugu ocellatus","short and / or deep","demersal",NA,NA,13.37,15,NA,"very high",0.5
"11018","Holtbyrnia intermedia",NA,"bathypelagic",NA,NA,16.78,NA,NA,"unknown",0.502
"11019","Chlorophthalmus zvezdae",NA,"bathydemersal",NA,NA,15.9,NA,NA,"unknown",0.5
"11020","Sigmops longipinnis",NA,"bathypelagic",0,72,36.85,NA,NA,"unknown",0.5312
"11021","Chauliodus vasnetzovi","elongated","bathypelagic",0,500,34.09,23.5,NA,"unknown",0.502
"11022","Evermannella megalops",NA,"bathypelagic",NA,NA,10,NA,NA,"unknown",0.5352
"11023","Hygophum bruuni",NA,"bathypelagic",NA,NA,27.45,NA,NA,"high",0.502
"11024","Protomyctophum chilense","elongated","bathypelagic",0,400,26.98,NA,NA,"high",0.5
"11025","Melamphaes laeviceps","fusiform / normal","bathypelagic",400,1109,52.87,NA,NA,"unknown",0.5
"11026","Melamphaes spinifer","fusiform / normal","bathypelagic",100,1109,52.87,NA,NA,"unknown",0.5
"11027","Osopsaron karlik","elongated","bathydemersal",260,450,10,4.2,NA,"unknown",0.625
"11028","Pteropsaron incisum","elongated","bathydemersal",116,307,10,5.2,NA,"unknown",0.502
"11029","Careproctus pallidus",NA,"demersal",6,28,29.11,NA,NA,"unknown",0.5
"11030","Scorpaenodes englerti","fusiform / normal","demersal",0,38,32.01,9,NA,"high",0.5
"11031","Emmelichthys elongatus",NA,"demersal",135,300,34.12,NA,NA,"high",0.5156
"11032","Melanocetus niger",NA,"bathypelagic",1200,2000,10,11,NA,"unknown",0.5312
"11033","Ctenochirichthys longimanus","short and / or deep","bathypelagic",800,1000,30.47,NA,NA,"unknown",1
"11034","Oneirodes heteronema",NA,"bathypelagic",500,1250,31.52,NA,NA,"unknown",0.5
"11035","Heteroconger enigmaticus","eel-like","demersal",3,25,34.29,43.7,NA,"medium",0.5
"11036","Heteroconger lentiginosus","eel-like","demersal",21,40,48.81,77,NA,"medium",0.5
"11037","Heteroconger tricia","eel-like","demersal",NA,NA,36.45,49.6,NA,"medium",0.5
"11038","Gorgasia naeocepaea","eel-like","demersal",10,24,48.74,75,NA,"medium",0.5001
"11039","Gorgasia sillneri","eel-like","demersal",NA,NA,53.39,83.8,NA,"medium",0.5001
"11040","Gerres decacanthus","short and / or deep","benthopelagic",1,10,10,9.1,NA,"medium",0.5
"11041","Thalassobathia nelsoni",NA,"bathypelagic",0,2000,38.46,NA,"of no interest","unknown",0.75
"11042","Sciadonus pedicellaris",NA,"bathydemersal",1847,4880,10,NA,"of no interest","unknown",0.5625
"11043","Stethopristes eos","short and / or deep","bathypelagic",343,686,10,NA,NA,"unknown",1.0625
"11044","Nemadactylus gayi",NA,"demersal",160,220,69.03,NA,NA,"very high",0.5078
"11045","Careproctus falklandicus",NA,"demersal",16,150,29.11,NA,NA,"unknown",0.5
"11046","Careproctus novaezelandiae","elongated","bathydemersal",800,1000,15.85,5.5,NA,"unknown",0.5
"11047","Pseudocheilinus citrinus","fusiform / normal","reef-associated",23,48,14.21,6.6,NA,"very high",0.5078
"11048","Pseudocheilinus dispilus","fusiform / normal","reef-associated",15,37,16.55,7.82,NA,"very high",0.5078
"11049","Coris centralis","elongated","reef-associated",4,46,20.33,9.16,NA,"very high",0.5
"11050","Patagonotothen squamiceps","fusiform / normal","benthopelagic",2,4,39.94,NA,NA,"high",0.5001
"11051","Girella albostriata",NA,"benthopelagic",NA,NA,52,NA,NA,"unknown",0.5
"11052","Itycirrhitus wilhelmi","fusiform / normal","demersal",1,55,10,12,NA,"unknown",1
"11053","Callanthias parini",NA,"bathydemersal",325,NA,11.84,17.9,NA,"unknown",0.5039
"11054","Coris roseoviridis","fusiform / normal","reef-associated",12,58,34.34,19.8,NA,"very high",0.5
"11055","Abudefduf conformis","fusiform / normal","reef-associated",0,12,29.67,13.1,NA,"unknown",0.5
"11056","Plectroglyphidodon sagmarius","fusiform / normal","reef-associated",0,18,11.53,4.55,NA,"unknown",0.501
"11057","Ctenogobius phenacus","fusiform / normal","demersal",0,2,10,3.2,NA,"very high",0.5
"11058","Conidens samoensis","elongated","demersal",0,8,29.47,NA,NA,"unknown",0.75
"11059","Lepadichthys erythraeus","elongated","demersal",NA,NA,27.12,3.72,NA,"unknown",0.5005
"11060","Tomicodon rhabdotus","elongated","demersal",0,1,27.14,3.84,NA,"unknown",0.5
"11061","Malacocephalus okamurai","eel-like","bathydemersal",229,411,35.89,28,NA,"medium",0.5078
"11062","Gerres chrysops","short and / or deep","demersal",10,20,10,8.3,NA,"medium",0.5
"11063","Monochirus trichodactylus",NA,"demersal",NA,NA,37.68,NA,NA,"very high",0.75
"11064","Zebrias crossolepis","short and / or deep","demersal",NA,NA,27.68,14.3,NA,"very high",0.5
"11065","Cynoglossus oligolepis","elongated","demersal",NA,NA,43.6,34.2,NA,"very high",0.5
"11066","Careproctus credispinulosus",NA,"bathydemersal",769,1400,29.11,NA,NA,"unknown",0.5
"11067","Bryaninops nexus","elongated","reef-associated",3,50,10,2.3,NA,"very high",0.5
"11068","Careproctus scaphopterus",NA,"bathydemersal",2886,3623,29.11,NA,NA,"unknown",0.5
"11069","Callogobius producta","fusiform / normal","reef-associated",NA,NA,14.62,7,NA,"very high",0.5
"11070","Callogobius crassus","fusiform / normal","demersal",5,25,10,3.5,NA,"very high",0.5
"11071","Callogobius dori","elongated","demersal",5,27,13.94,2.38,NA,"very high",0.5
"11072","Careproctus improvisus",NA,"bathydemersal",260,306,29.11,NA,NA,"unknown",0.5
"11073","Cyclothone kobayashii",NA,"bathydemersal",0,1058,11.53,4.19,NA,"unknown",0.5001
"11074","Careproctus vladibeckeri",NA,"bathydemersal",2273,2941,29.11,NA,NA,"unknown",0.5
"11075","Paraliparis hubbsi",NA,"bathydemersal",1200,1600,26.1,NA,NA,"unknown",0.5
"11076","Paraliparis aspersus",NA,"bathydemersal",800,846,26.1,NA,NA,"unknown",0.5
"11077","Careproctus aculeolatus","short and / or deep","bathydemersal",540,700,15.39,NA,NA,"unknown",0.5
"11078","Silhouettea aegyptia","fusiform / normal","demersal",NA,NA,10.04,5,NA,"very high",0.501
"11079","Gyrinomimus bruuni","elongated","bathypelagic",NA,4820,23.84,22,NA,"unknown",0.5312
"11080","Genioliparis lindbergi",NA,"bathydemersal",735,850,31.86,31,NA,"unknown",0.625
"11081","Nectamia annularis","short and / or deep","reef-associated",0,17,10,7,NA,"high",0.502
"11082","Sebastes notius",NA,"demersal",NA,240,66.02,NA,NA,"medium",0.5
"11083","Bathylagoides nigrigenys","elongated","bathypelagic",100,1500,37.75,10.5,"of no interest","unknown",0.625
"11084","Plectranthias exsul",NA,"demersal",140,225,26.5,15.8,NA,"very high",0.5
"11085","Girella feliciana",NA,"benthopelagic",NA,NA,52,NA,NA,"unknown",0.5
"11086","Chelidoperca lecromi","elongated","demersal",NA,300,23.53,13,NA,"very high",0.5039
"11087","Ophidion saldanhai","eel-like","demersal",31,37,20.74,14.95,NA,"medium",0.5
"11088","Acanthanectes hystrix","fusiform / normal","demersal",10,24,10,3.5,NA,"unknown",0.75
"11089","Acanthanectes rufus","elongated","reef-associated",15,25,10,3.55,NA,"unknown",0.75
"11090","Odontanthias tapui","short and / or deep","reef-associated",NA,NA,25,14.5,NA,"very high",0.5
"11091","Paracirrhites nisus","short and / or deep","reef-associated",3,14,10,8.1,NA,"unknown",0.5156
"11092","Brotulotaenia nielseni",NA,"bathypelagic",800,900,55.74,NA,"of no interest",NA,0.5625
"11093","Ophidion lozanoi",NA,"demersal",60,80,18.7,NA,"of no interest",NA,0.5
"11094","Ophidion exul","elongated","demersal",0,20,11.03,9.6,"of no interest",NA,0.5
"11095","Bathyonus pectoralis",NA,"bathydemersal",604,4600,47.86,NA,"of no interest",NA,0.625
"11096","Dicrolene nigricaudis",NA,"bathydemersal",344,730,41.25,NA,"of no interest",NA,0.5
"11097","Holcomycteronus pterotus","elongated","bathydemersal",1830,3195,35.14,NA,"of no interest",NA,0.5156
"11098","Leucicorus atlanticus","eel-like","bathydemersal",4580,6800,42.13,NA,"of no interest",NA,0.75
"11099","Neobythites crosnieri",NA,"benthopelagic",125,350,24.51,NA,NA,"medium",0.5
"11100","Neobythites kenyaensis",NA,"bathydemersal",240,300,24.51,NA,NA,"medium",0.5
"11101","Neobythites meteori",NA,"benthopelagic",175,337,24.51,NA,NA,"medium",0.5
"11102","Neobythites natalensis",NA,"bathydemersal",310,590,24.51,NA,NA,"medium",0.5
"11103","Porogadus melanocephalus",NA,"bathydemersal",3010,3200,36.2,NA,"of no interest",NA,0.5001
"11104","Porogadus atripectus",NA,"bathydemersal",1950,3220,36.2,NA,"of no interest",NA,0.5001
"11105","Porogadus longiceps",NA,"bathydemersal",245,3281,36.2,NA,"of no interest",NA,0.5001
"11106","Bythites gerdae",NA,"benthopelagic",86,832,15.01,NA,"of no interest","unknown",0.625
"11107","Thermichthys hollisi",NA,"bathydemersal",NA,2500,20.6,NA,"of no interest","unknown",1
"11108","Parasaccogaster normae",NA,"demersal",80,150,12.47,NA,"of no interest","unknown",0.625
"11109","Saccogaster staigeri","elongated","bathydemersal",201,450,17.71,9.3,"of no interest","unknown",0.5039
"11110","Alionematichthys minyomma","elongated","reef-associated",0,9,14.62,7.79,"of no interest","unknown",0.5005
"11111","Barathronus diaphanus",NA,"bathypelagic",732,1756,10,NA,"of no interest","unknown",0.501
"11112","Barathronus pacificus",NA,"bathypelagic",3334,3860,10,NA,"of no interest","unknown",0.501
"11113","Barathronus unicolor",NA,"bathypelagic",2931,3934,10,NA,"of no interest","unknown",0.501
"11114","Pseudonus acutus","elongated","bathydemersal",915,1620,23.74,12.1,"of no interest","unknown",0.75
"11115","Obliquogobius turkayi",NA,"bathydemersal",434,496,10,NA,NA,"very high",0.5156
"11116","Parapercis simulata","elongated","demersal",76,80,30.47,NA,NA,"unknown",0.5
"11117","Jaydia hungi",NA,"demersal",NA,62,12.21,NA,NA,"high",0.5
"11118","Chlidichthys auratus","elongated","reef-associated",2,30,10,3.9,NA,"unknown",0.5001
"11119","Scorpaenodes steinitzi","fusiform / normal","demersal",NA,NA,19.98,5.5,NA,"high",0.5
"11120","Cocotropus steinitzi","short and / or deep","demersal",NA,NA,10,5,NA,"unknown",0.5
"11121","Lythrypnus mowbrayi","fusiform / normal","reef-associated",4,22,10,NA,NA,"very high",0.5
"11122","Enneapterygius destai","fusiform / normal","demersal",2,12,10,2.1,NA,"unknown",0.5
"11123","Astronesthes illuminatus",NA,"bathypelagic",120,2000,25.22,15.5,NA,"unknown",0.5
"11124","Astronesthes galapagensis",NA,"bathypelagic",500,NA,28.31,18.3,NA,"unknown",0.5
"11125","Lepidotrigla oglina",NA,"bathydemersal",NA,271,31.16,NA,NA,"very high",0.5
"11126","Pogonophryne orangiensis",NA,"bathydemersal",420,670,10.01,16.4,NA,"unknown",0.5
"11127","Eustomias interruptus","elongated","bathypelagic",0,932,21.13,12.1,NA,"unknown",0.5
"11128","Eustomias lanceolatus","elongated","bathypelagic",592,657,20.13,11.5,NA,"unknown",0.5
"11129","Eustomias pinnatus","elongated","bathypelagic",790,910,20.74,11.9,NA,"unknown",0.5
"11130","Iniistius trivittatus","fusiform / normal","reef-associated",0,10,35.9,30,NA,"very high",0.5
"11131","Bathytroctes macrognathus",NA,"bathypelagic",3940,4820,39.59,24.2,NA,"unknown",0.5005
"11132","Bathytroctes zugmayeri",NA,"bathypelagic",NA,1473,49.61,NA,NA,"unknown",0.5005
"11133","Cirrhilabrus adornatus","fusiform / normal","reef-associated",10,30,13.79,6.34,NA,"very high",0.5
"11134","Dactyloscopus lacteus",NA,"demersal",2,9,10,5,NA,"unknown",0.5
"11135","Myxodagnus sagitta",NA,"demersal",18,46,10,6.1,NA,"unknown",0.5312
"11136","Monognathus boehlkei","eel-like","bathypelagic",2500,5430,10,7,NA,"unknown",0.5001
"11137","Monognathus bertini","eel-like","bathypelagic",NA,NA,10,10.3,NA,"unknown",0.5001
"11138","Monognathus isaacsi","eel-like","bathypelagic",0,950,10,5.6,NA,"unknown",0.5001
"11139","Pachycara thermophilum",NA,"bathydemersal",NA,3480,45.73,38.8,NA,"unknown",0.5
"11140","Plectranthias robertsi",NA,"bathypelagic",220,400,15.39,NA,NA,"very high",0.5
"11141","Psilotris boehlkei","elongated","demersal",8,50,11.03,4,NA,"very high",0.5625
"11142","Psilotris kaufmani","elongated","demersal",8,50,11.03,4,NA,"very high",0.5625
"11143","Parabrotula tanseimaru",NA,"bathypelagic",0,1300,10,4.95,NA,"unknown",0.875
"11144","Cryptocentrus cyanotaenia","elongated","reef-associated",1,12,24.15,12,NA,"very high",0.5
"11145","Samariscus desoutterae","short and / or deep","bathydemersal",310,350,10,7.95,NA,"very high",0.5
"11146","Anthias asperilinguis","fusiform / normal","reef-associated",229,320,26.08,15.6,NA,"very high",0.5039
"11147","Pleurosicya carolinensis","elongated","reef-associated",3,6,10,2.5,NA,"very high",0.5
"11148","Rypticus courtenayi","short and / or deep","reef-associated",6,11,30.36,19,NA,"very high",0.501
"11149","Priolepis limbatosquamis","fusiform / normal","reef-associated",3,26,10,2.2,NA,"very high",0.5
"11150","Leptostichaeus pumilus","eel-like","benthopelagic",2,100,26.38,7.83,NA,"unknown",1
"11151","Xenoconger fryeri","eel-like","reef-associated",1,5,10.33,20.5,NA,"unknown",1
"11152","Chromis dispilus","short and / or deep","pelagic-neritic",0,60,31.23,21,NA,"unknown",0.5
"11153","Lophiodes bruchius",NA,"bathydemersal",274,384,22.77,16.44,NA,"very high",0.5
"11154","Echinomacrurus mollis","elongated","bathypelagic",4000,6000,50.65,46.5,"of no interest",NA,0.75
"11155","Ataxolepis henactis","elongated","bathypelagic",NA,NA,10,4.04,NA,"unknown",0.75
"11156","Linophryne brevibarbata",NA,"bathypelagic",600,2000,10,NA,"of no interest","unknown",0.5
"11157","Linophryne maderensis",NA,"bathypelagic",0,880,10,NA,"of no interest","unknown",0.5
"11158","Linophryne polypogon",NA,"bathypelagic",1055,1295,10,4.5,"of no interest","unknown",0.5
"11159","Linophryne sexfilis",NA,"bathypelagic",100,1250,10,NA,"of no interest","unknown",0.5
"11160","Centrolabrus caeruleus","fusiform / normal","demersal",1,30,36.28,21.5,NA,"very high",0.5005
"11161","Lestidiops neles","eel-like","pelagic-oceanic",NA,NA,10,7.8,NA,"unknown",0.5
"11162","Ophidion genyopus",NA,"demersal",NA,NA,24.2,NA,"of no interest",NA,0.5
"11163","Himantolophus compressus",NA,"bathypelagic",NA,NA,10,NA,NA,"unknown",0.5
"11164","Symphurus insularis","short and / or deep","demersal",3,23,13.79,7.98,"of no interest",NA,0.5
"11165","Typhlonus nasus","eel-like","bathydemersal",3935,5100,34.83,28.5,"of no interest",NA,1
"11166","Pseudonus squamiceps",NA,"bathydemersal",416,1270,22.76,11.6,"of no interest","unknown",0.75
"11167","Nansenia longicauda","elongated","bathypelagic",400,1100,10,13.3,NA,"unknown",0.5
"11168","Oneirodes clarkei",NA,"bathypelagic",0,1500,32.07,NA,NA,"unknown",0.5
"11169","Oneirodes macronema",NA,"bathypelagic",0,1000,10,NA,NA,"unknown",0.5
"11170","Torpedo puelcha","other","demersal",10,600,70.92,110,NA,"medium",0.5002
"11171","Himantura pastinacoides","other (see remarks)","demersal",NA,NA,68.41,80,NA,"low",0.5078
"11172","Himantura uarnacoides","other","demersal",NA,30,73.33,119,NA,"low",0.5312
"11173","Xyrichtys mundiceps","fusiform / normal","demersal",12,15,28.48,14.5,NA,"very high",0.5005
"11174","Anisotremus moricandi","short and / or deep","demersal",9,12,25,15.12,NA,"medium",0.5039
"11175","Ammodytoides pylei","elongated","benthopelagic",7,120,28.67,17.3,NA,"unknown",0.501
"11176","Micrognathus erugatus","eel-like","demersal",0,1,15.87,NA,NA,"unknown",0.5039
"11177","Hetereleotris kenyae",NA,"demersal",NA,NA,10,NA,NA,"very high",0.5
